query_idx,profile,nav_attr,recall,graph_ms,exact_ms,hops,dist,pruned,result_count,insufficient,span0,span1,span2
382,attr2_narrow,2,1,18.031693,219.13985,1026,4031,11781,10,0,5000000,5000000,1000000
383,balanced,0,0,0.399735,100.64446,30,30,726,10,0,2000000,2000000,2000000
384,attr0_narrow,0,0.9,8.629481,182.41294,1036,2862,8405,10,0,1000000,5000000,5000000
385,attr1_narrow,1,1,14.714816,188.63502,1028,5382,16016,10,0,5000000,1000000,5000000
386,attr2_narrow,2,1,19.716645,221.881,1027,4566,13734,10,0,5000000,5000000,1000000
387,balanced,0,0.1,11.815239,133.83918,1139,1389,32782,10,0,2000000,2000000,2000000
388,attr0_narrow,0,1,9.586028,146.1983,1030,5764,17991,10,0,1000000,5000000,5000000
389,attr1_narrow,1,0.9,11.054913,179.84991,1031,2956,8650,10,0,5000000,1000000,5000000
390,attr2_narrow,2,1,12.195187,212.03903,1030,1610,4710,10,0,5000000,5000000,1000000
391,balanced,0,0.5,13.291117,141.30363,1234,1470,36025,10,0,2000000,2000000,2000000
392,attr0_narrow,0,1,8.603272,188.69102,1037,3144,9280,10,0,1000000,5000000,5000000
393,attr1_narrow,1,1,13.321314,200.07537,1030,5297,16143,10,0,5000000,1000000,5000000
394,attr2_narrow,2,1,21.675867,214.65985,1032,5513,16841,10,0,5000000,5000000,1000000
395,balanced,0,0.2,13.630509,132.32965,1232,1422,32792,10,0,2000000,2000000,2000000
396,attr0_narrow,0,1,8.031652,144.35217,1026,4171,12417,10,0,1000000,5000000,5000000
397,attr1_narrow,1,1,14.316504,199.56722,1030,5501,16382,10,0,5000000,1000000,5000000
398,attr2_narrow,2,1,39.964052,217.35597,1041,3201,9558,10,0,5000000,5000000,1000000
399,balanced,0,0,0.200689,96.719956,8,8,248,8,1,2000000,2000000,2000000
400,attr0_narrow,0,1,11.830939,142.3671,1027,5495,16774,10,0,1000000,5000000,5000000
401,attr1_narrow,1,1,20.162437,186.37314,1036,4463,13482,10,0,5000000,1000000,5000000
402,attr2_narrow,2,1,54.706872,197.23192,1055,3761,11089,10,0,5000000,5000000,1000000
403,balanced,0,0.4,11.640639,124.91348,1083,1345,31304,10,0,2000000,2000000,2000000
404,attr0_narrow,0,1,8.080404,131.76391,1032,4227,12395,10,0,1000000,5000000,5000000
405,attr1_narrow,1,0.9,20.544198,202.45646,1031,2659,8297,10,0,5000000,1000000,5000000
406,attr2_narrow,2,1,44.787274,193.38056,1036,4107,12287,10,0,5000000,5000000,1000000
407,balanced,0,0,0.106862,97.638251,6,6,222,6,1,2000000,2000000,2000000
408,attr0_narrow,0,1,10.167887,163.59734,1028,4925,14640,10,0,1000000,5000000,5000000
409,attr1_narrow,1,1,21.357275,208.18398,1027,3841,11472,10,0,5000000,1000000,5000000
410,attr2_narrow,2,0.9,20.719719,206.4351,1034,5371,15460,10,0,5000000,5000000,1000000
411,balanced,0,0,9.863733,111.30847,1047,1239,29312,10,0,2000000,2000000,2000000
412,attr0_narrow,0,1,10.067498,149.20605,1035,5358,16132,10,0,1000000,5000000,5000000
413,attr1_narrow,1,1,13.847148,193.29262,1029,4691,14032,10,0,5000000,1000000,5000000
414,attr2_narrow,2,1,17.769056,205.79033,1032,3923,11954,10,0,5000000,5000000,1000000
415,balanced,0,0,0.141567,128.42718,6,6,251,6,1,2000000,2000000,2000000
416,attr0_narrow,0,1,8.076607,180.01184,1030,2647,7800,10,0,1000000,5000000,5000000
417,attr1_narrow,1,1,12.647191,205.06957,1031,3637,10936,10,0,5000000,1000000,5000000
418,attr2_narrow,2,1,15.947235,202.87725,1032,3308,10111,10,0,5000000,5000000,1000000
419,balanced,0,0.3,12.575565,103.07899,1209,1575,35929,10,0,2000000,2000000,2000000
420,attr0_narrow,0,1,7.367588,143.81642,1031,3519,10710,10,0,1000000,5000000,5000000
421,attr1_narrow,1,1,13.025947,177.87901,1030,4220,12423,10,0,5000000,1000000,5000000
422,attr2_narrow,2,1,14.971862,211.35074,1037,3504,10938,10,0,5000000,5000000,1000000
423,balanced,0,0.2,13.871975,126.98259,1193,1554,37791,10,0,2000000,2000000,2000000
424,attr0_narrow,0,1,8.938435,157.52254,1036,4354,13272,10,0,1000000,5000000,5000000
425,attr1_narrow,1,0.9,13.404682,208.30391,1030,4159,12638,10,0,5000000,1000000,5000000
426,attr2_narrow,2,1,20.015009,224.18678,1034,4456,13263,10,0,5000000,5000000,1000000
427,balanced,0,0,1.51411,92.272024,118,118,2964,10,0,2000000,2000000,2000000
428,attr0_narrow,0,1,9.25387,157.13999,1032,4412,13581,10,0,1000000,5000000,5000000
429,attr1_narrow,1,1,13.865973,210.39662,1029,4957,15150,10,0,5000000,1000000,5000000
430,attr2_narrow,2,1,18.099711,203.51844,1038,4488,13476,10,0,5000000,5000000,1000000
431,balanced,0,0.3,12.082644,143.04592,1034,1409,32967,10,0,2000000,2000000,2000000
432,attr0_narrow,0,1,10.760717,179.62596,1037,4335,13161,10,0,1000000,5000000,5000000
433,attr1_narrow,1,1,12.402268,211.28646,1034,3579,11109,10,0,5000000,1000000,5000000
434,attr2_narrow,2,1,22.988987,214.00972,1034,5318,15971,10,0,5000000,5000000,1000000
435,balanced,0,0.1,12.751989,116.80742,1075,1332,31607,10,0,2000000,2000000,2000000
436,attr0_narrow,0,1,11.060303,139.06417,1028,4504,13490,10,0,1000000,5000000,5000000
437,attr1_narrow,1,1,13.820387,182.07164,1032,3243,9882,10,0,5000000,1000000,5000000
438,attr2_narrow,2,0.9,17.593936,218.01784,1027,4203,12712,10,0,5000000,5000000,1000000
439,balanced,0,0.3,12.759042,115.43798,1119,1308,30542,10,0,2000000,2000000,2000000
440,attr0_narrow,0,1,10.596096,190.42213,1039,2271,7078,10,0,1000000,5000000,5000000
441,attr1_narrow,1,1,23.236184,176.36713,1041,4957,14989,10,0,5000000,1000000,5000000
442,attr2_narrow,2,1,17.614014,217.77053,1030,4367,12985,10,0,5000000,5000000,1000000
443,balanced,0,0.2,13.10713,121.93777,1171,1475,36028,10,0,2000000,2000000,2000000
444,attr0_narrow,0,0.9,8.655831,131.32952,1027,5089,15206,10,0,1000000,5000000,5000000
445,attr1_narrow,1,1,14.864259,196.38808,1033,5635,17106,10,0,5000000,1000000,5000000
446,attr2_narrow,2,1,21.272073,207.63619,1033,4388,13327,10,0,5000000,5000000,1000000
447,balanced,0,0.5,11.931278,152.75611,1120,1324,30909,10,0,2000000,2000000,2000000
448,attr0_narrow,0,1,9.060686,173.98933,1030,4267,12664,10,0,1000000,5000000,5000000
449,attr1_narrow,1,0.5,12.316756,202.62777,1039,1958,6190,10,0,5000000,1000000,5000000
450,attr2_narrow,2,0.9,24.905888,199.12789,1036,3140,9375,10,0,5000000,5000000,1000000
451,balanced,0,0.3,19.980875,137.67157,1634,2093,49124,10,0,2000000,2000000,2000000
452,attr0_narrow,0,1,11.597608,161.87563,1028,5509,16370,10,0,1000000,5000000,5000000
453,attr1_narrow,1,1,16.454833,202.20629,1047,5109,15223,10,0,5000000,1000000,5000000
454,attr2_narrow,2,1,16.44272,212.64059,1032,3292,9867,10,0,5000000,5000000,1000000
455,balanced,0,0,0.106922,156.35504,4,4,171,4,1,2000000,2000000,2000000
456,attr0_narrow,0,1,7.844829,141.29484,1031,3828,11400,10,0,1000000,5000000,5000000
457,attr1_narrow,1,1,13.330722,208.49869,1033,2761,8152,10,0,5000000,1000000,5000000
458,attr2_narrow,2,1,14.340269,206.94506,1025,2763,8176,10,0,5000000,5000000,1000000
459,balanced,0,0.4,13.270729,146.98112,1126,1411,32760,10,0,2000000,2000000,2000000
460,attr0_narrow,0,0.9,8.891436,143.81447,1075,5272,15921,10,0,1000000,5000000,5000000
461,attr1_narrow,1,1,16.420629,198.33175,1034,5112,15147,10,0,5000000,1000000,5000000
462,attr2_narrow,2,1,16.901347,215.21577,1029,3978,11983,10,0,5000000,5000000,1000000
463,balanced,0,0,0.337297,110.7393,17,17,699,10,0,2000000,2000000,2000000
464,attr0_narrow,0,1,8.087358,147.80297,1030,3888,11558,10,0,1000000,5000000,5000000
465,attr1_narrow,1,1,16.226231,192.21124,1031,5346,16061,10,0,5000000,1000000,5000000
466,attr2_narrow,2,1,21.830448,222.02648,1028,5253,15633,10,0,5000000,5000000,1000000
467,balanced,0,0.6,14.568269,149.62944,1214,1632,36802,10,0,2000000,2000000,2000000
468,attr0_narrow,0,1,9.25366,188.3018,1028,3507,10512,10,0,1000000,5000000,5000000
469,attr1_narrow,1,1,14.253054,195.76286,1026,3284,9991,10,0,5000000,1000000,5000000
470,attr2_narrow,2,1,20.72991,221.42628,1029,5281,15890,10,0,5000000,5000000,1000000
471,balanced,0,0.5,10.971997,110.03113,1033,1371,32789,10,0,2000000,2000000,2000000
